block_loop,reps,leftLabel,rightLabel,InstrText,stims,correct_key,stim_color,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_3.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,label_left.started,label_right.started,polygon_2.started,polygon_2.stopped,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",厌恶,i,white,0,0,0,0,2,6,22,6,,,,,,,,,61.77400900000066,61.77400900000066,61.77400900000066,62.2745159999904,62.76518259999284,62.76518259999284,i,0.46736920000694226,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",愉悦,e,white,0,0,0,0,2,7,23,3,,,,,,,,,63.24387979999301,63.24387979999301,63.24387979999301,63.7467525999964,64.24345439999888,64.24345439999888,e,0.39800109999487177,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block1.xlsx,3,积极词-按E键,消极词-按I键,"接下来将进行第一部分的测试
请你将左手和右手的食指分别放在E和I按键上。
一会屏幕中会先短暂出现一个十字，请注视。
十字消失后会出现一个词语（积极词或消极词），
请在保证正确率的前提下快速对其进行分类。
具体规则为：积极词-按E键；消极词-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,64.64937780000037,64.64937780000037,space,1.4667864999937592,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",蚂蚁,i,green,0,1,1,1,0,0,0,4,,,,,66.1634575999924,66.1634575999924,space,5.057893299992429,71.24624089999998,71.24624089999998,71.24624089999998,71.74985889998788,72.2285344999982,72.2285344999982,i,0.6681743999943137,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",蜈蚣,i,green,0,1,1,1,0,1,1,5,,,,,,,,,72.90723589999834,72.90723589999834,72.90723589999834,73.40982950000034,73.9005182999972,73.9005182999972,i,0.5108157999929972,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",玫瑰,e,green,0,1,1,1,0,2,2,0,,,,,,,,,74.4223895999894,74.4223895999894,74.4223895999894,74.92454199999338,75.4212625999935,75.4212625999935,e,0.5481154000008246,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",月季,e,green,0,1,1,1,0,3,3,3,,,,,,,,,75.97862159999204,75.97862159999204,75.97862159999204,76.48132069999701,76.97209269998712,76.97209269998712,e,0.4242689000093378,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",蚯蚓,i,green,0,1,1,1,0,4,4,7,,,,,,,,,77.402256699992,77.402256699992,77.402256699992,77.90511209999386,78.40198509999027,78.40198509999027,i,0.4642484000069089,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",牡丹,e,green,0,1,1,1,0,5,5,1,,,,,,,,,78.87450739998894,78.87450739998894,78.87450739998894,79.37728219998826,79.86803359999612,79.86803359999612,e,0.6104221999994479,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
block2.xlsx,3,花-按E键,虫-按I键,"接下来将进行第二部分的测试
请你将左手和右手的食指分别放在E和I按键上。
该部分流程与刚才相同，只是出现的词语和规则稍有变化
词语为花或者虫
具体规则为：花-按E键；虫-按I键
如果你已经明白规则，请按空格键开始测试
如果你有任何疑问，请咨询实验员",丁香,e,green,0,1,1,1,0,6,6,2,,,,,,,,,80.48639989999356,80.48639989999356,80.48639989999356,80.98884890000045,81.4855865999998,81.4855865999998,e,0.47493719999329187,,,,,885045,001,2024-12-23_22h00.52.146,IAT,2022.2.4,164.88997715758777,
